time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2]
2008-02-24,-3.625,38.625,4.7688704,3.4638593,8.8449724e-07,0.28444827,26.863458807821626
2008-02-25,-3.625,38.625,6.4664516,1.5265241,2.3269502e-07,0.28678027,27.629421954905546
2008-02-26,-3.625,38.625,6.3838577,0.020874718,0.0,0.28077298,28.39538510198946
2008-02-27,-3.625,38.625,6.8543186,0.0230284,0.0,0.27234668,29.099687795948096
2008-02-28,-3.625,38.625,5.6548595,6.891393,1.7148426e-06,0.2772861,29.80399048990673
2008-02-29,-3.625,38.625,4.4317355,0.119120896,0.0,0.2813836,30.50829318386537
2008-03-01,-3.625,38.625,6.907588,0.0,0.0,0.2748162,31.212595877824004
2008-03-02,-3.625,38.625,7.4024878,0.0,0.0,0.26568174,31.91689857178264
2008-03-03,-3.625,38.625,7.47272,0.0002858961,0.0,0.25775594,32.62120126574128
2008-03-04,-3.625,38.625,6.2415385,0.0,0.0,0.24978015,33.32550395969991
2008-03-05,-3.625,38.625,4.9108553,0.0,0.0,0.24238122,34.02980665365855
2008-03-06,-3.625,38.625,7.2593994,0.0,0.0,0.23756084,34.86545756459236
2008-03-07,-3.625,38.625,7.374952,0.0,0.0,0.23321708,35.70110847552617
2008-03-08,-3.625,38.625,7.508079,0.0,0.0,0.22899619,36.536759386459984
2008-03-09,-3.625,38.625,5.993535,0.0,0.0,0.2254258,37.3724102973938
2008-03-10,-3.625,38.625,5.41938,0.27211332,0.0,0.2243711,38.20806120832761
2008-03-11,-3.625,38.625,9.002862,0.32681742,0.0,0.22494002,39.04371211926142
2008-03-12,-3.625,38.625,7.9325914,0.0,0.0,0.22235957,39.87936303019523
2008-03-13,-3.625,38.625,8.029708,0.0,0.0,0.21793406,40.715013941129044
2008-03-14,-3.625,38.625,7.1487355,0.0,0.0,0.21353237,41.07328166288357
2008-03-15,-3.625,38.625,8.66992,0.029482894,0.0,0.21015325,41.43154938463811
2008-03-16,-3.625,38.625,8.265101,0.0,0.0,0.2063171,41.78981710639265
2008-03-17,-3.625,38.625,5.9533863,0.0020033666,0.0,0.20180102,42.14808482814718
2008-03-18,-3.625,38.625,8.807953,0.016882528,0.0,0.19899794,42.506352549901706
2008-03-19,-3.625,38.625,6.6290812,0.43233916,1.626876e-07,0.19709298,42.86462027165624
2008-03-20,-3.625,38.625,7.0064797,4.803151,6.3127663e-07,0.20561545,43.22288799341078
2008-03-21,-3.625,38.625,8.944529,0.03803674,0.0,0.20908916,43.58115571516531
2008-03-22,-3.625,38.625,8.75441,5.86474,1.2702565e-06,0.21587078,44.15753469974906
2008-03-23,-3.625,38.625,9.874217,0.68068963,1.08458394e-07,0.2214978,44.733913684332805
2008-03-24,-3.625,38.625,9.363717,0.0,0.0,0.21595111,45.31029266891655
2008-03-25,-3.625,38.625,9.066891,0.009434571,0.0,0.21074541,45.8866716535003
2008-03-26,-3.625,38.625,7.8730273,0.021469427,0.0,0.20598093,46.463050638084056
2008-03-27,-3.625,38.625,2.1399689,0.041060638,0.0,0.20182404,47.039429622667804
2008-03-28,-3.625,38.625,9.936181,0.0,0.0,0.20162389,47.61580860725155
2008-03-29,-3.625,38.625,9.265308,0.0065756105,0.0,0.20008549,48.1921875918353
2008-03-30,-3.625,38.625,9.987723,0.50545996,6.680562e-08,0.19900487,47.93748914919517
2008-03-31,-3.625,38.625,10.445327,0.0,0.0,0.19513938,47.682790706555046
2008-04-01,-3.625,38.625,9.841716,0.0,0.0,0.19095033,47.42809226391492
2008-04-02,-3.625,38.625,10.572636,0.0,0.0,0.18679073,47.173393821274786
2008-04-03,-3.625,38.625,10.482004,0.0,0.0,0.18345363,46.91869537863466
2008-04-04,-3.625,38.625,10.240888,0.0,0.0,0.18005401,46.66399693599453
2008-04-05,-3.625,38.625,10.472737,0.0,0.0,0.17894332,46.409298493354406
2008-04-06,-3.625,38.625,10.698817,0.12736265,6.1797385e-09,0.17733161,46.15460005071428
2008-04-07,-3.625,38.625,6.532534,1.4392514,2.4001983e-07,0.17937332,46.72489404954292
2008-04-08,-3.625,38.625,2.8307896,26.897394,5.7280995e-06,0.21428356,47.29518804837156
2008-04-09,-3.625,38.625,3.5529416,38.544224,1.1147122e-05,0.29232204,47.8654820472002
2008-04-10,-3.625,38.625,9.695646,10.0937,3.7708483e-06,0.3486013,48.43577604602884
2008-04-11,-3.625,38.625,7.898692,6.0474586,1.4841834e-06,0.34909037,49.00607004485748
2008-04-12,-3.625,38.625,8.99701,0.08699013,0.0,0.338767,49.57636404368613
2008-04-13,-3.625,38.625,10.920624,0.0,0.0,0.331494,50.146658042514765
2008-04-14,-3.625,38.625,11.727204,0.0015203925,0.0,0.32325697,50.716952041343404
2008-04-15,-3.625,38.625,11.43766,0.007498528,0.0,0.31278092,51.53205590667548
2008-04-16,-3.625,38.625,9.665833,0.28354785,5.4323703e-08,0.30318853,52.34715977200755
2008-04-17,-3.625,38.625,7.0183735,9.669287,2.9004814e-06,0.3123553,53.16226363733962
2008-04-18,-3.625,38.625,12.124171,15.053689,5.362385e-06,0.33964652,53.9773675026717
2008-04-19,-3.625,38.625,6.2484245,15.942715,5.5903492e-06,0.35473725,54.792471368003774
2008-04-20,-3.625,38.625,11.71431,14.496199,5.873245e-06,0.37221706,55.607575233335844
2008-04-21,-3.625,38.625,6.51982,0.5260226,3.7976395e-08,0.35840318,56.42267909866791
2008-04-22,-3.625,38.625,12.588955,0.0,0.0,0.3514722,57.23778296399999
2008-04-23,-3.625,38.625,12.057981,0.0064775203,0.0,0.33732194,56.96591334762396
2008-04-24,-3.625,38.625,13.9295845,0.0044532954,0.0,0.3290866,56.69404373124793
2008-04-25,-3.625,38.625,13.923836,0.0,0.0,0.31705245,56.4221741148719
2008-04-26,-3.625,38.625,13.842272,0.0,0.0,0.30467415,56.15030449849587
2008-04-27,-3.625,38.625,13.3785715,0.5162473,9.0108195e-08,0.29382807,55.87843488211985
2008-04-28,-3.625,38.625,11.597517,0.0,0.0,0.28532988,55.60656526574382
2008-04-29,-3.625,38.625,13.856607,0.0,0.0,0.27782783,55.33469564936779
2008-04-30,-3.625,38.625,11.911989,0.0030407854,0.0,0.2683726,55.06282603299176
2008-05-01,-3.625,38.625,14.02228,-8.326673e-14,0.0,0.26486236,54.65324140257305
2008-05-02,-3.625,38.625,13.952754,-8.326673e-14,0.0,0.2580729,54.243656772154345
2008-05-03,-3.625,38.625,12.753118,-8.326673e-14,0.0,0.2500538,53.83407214173564
2008-05-04,-3.625,38.625,13.700759,0.42165774,6.991983e-08,0.24530414,53.42448751131693
2008-05-05,-3.625,38.625,13.4546795,0.018066596,0.0,0.24075758,53.01490288089823
2008-05-06,-3.625,38.625,12.625691,0.04291286,1.5513962e-08,0.23525575,52.60531825047952
2008-05-07,-3.625,38.625,12.854725,0.60809344,1.3962566e-07,0.22958913,52.195733620060814
2008-05-08,-3.625,38.625,9.518292,12.6214285,2.356624e-06,0.24223642,51.78614898964211
2008-05-09,-3.625,38.625,10.307583,6.341376,1.0678802e-06,0.2734703,52.30377945635054
2008-05-10,-3.625,38.625,4.9041953,9.80777,2.158382e-06,0.2935849,52.821409923058965
2008-05-11,-3.625,38.625,8.467563,1.2432973,2.7731016e-07,0.30810642,53.3390403897674
2008-05-12,-3.625,38.625,12.064885,0.8395609,5.5376436e-08,0.30209997,53.85667085647583
2008-05-13,-3.625,38.625,10.230261,2.2316132,5.007571e-07,0.2979395,54.37430132318426
2008-05-14,-3.625,38.625,9.22177,2.1467667,4.0648874e-07,0.29904765,54.891931789892695
2008-05-15,-3.625,38.625,9.8121605,0.018206295,3.339706e-09,0.29030657,55.40956225660112
2008-05-16,-3.625,38.625,12.40682,7.024413,1.7011555e-06,0.29122224,55.92719272330955
