time,longitude,latitude,snr_[MJ/m2],tp_[mm]
2010-04-15,8.125,48.125,9.873689,1.1376902
2010-04-16,8.125,48.125,5.690278,0.45962715
2010-04-17,8.125,48.125,12.092672,0.0
2010-04-18,8.125,48.125,11.883572,0.0006783217
2010-04-19,8.125,48.125,11.410209,0.0
2010-04-20,8.125,48.125,10.75261,0.7544618
2010-04-21,8.125,48.125,12.405703,0.0
2010-04-22,8.125,48.125,12.165035,0.0
2010-04-23,8.125,48.125,11.557543,0.0
2010-04-24,8.125,48.125,12.923567,0.0
2010-04-25,8.125,48.125,12.866134,0.00022610724
2010-04-26,8.125,48.125,11.4149275,1.1047728
2010-04-27,8.125,48.125,11.217848,0.13684393
2010-04-28,8.125,48.125,13.517162,0.0
2010-04-29,8.125,48.125,13.881763,0.0
2010-04-30,8.125,48.125,9.389512,2.872313
2010-05-01,8.125,48.125,5.2906985,11.400513
2010-05-02,8.125,48.125,4.328506,6.4335475
2010-05-03,8.125,48.125,10.316454,5.074318
2010-05-04,8.125,48.125,4.4938946,4.753905
2010-05-05,8.125,48.125,4.1529717,6.077785
2010-05-06,8.125,48.125,2.497102,15.109135
2010-05-07,8.125,48.125,8.122988,5.7566724
2010-05-08,8.125,48.125,12.061785,0.78485906
2010-05-09,8.125,48.125,12.005141,6.9010344
2010-05-10,8.125,48.125,4.5096107,6.225441
2010-05-11,8.125,48.125,10.160227,11.512921
2010-05-12,8.125,48.125,9.70847,2.476271
2010-05-13,8.125,48.125,4.338423,13.509586
2010-05-14,8.125,48.125,6.488972,2.849223
2010-05-15,8.125,48.125,7.664519,0.9815664
2010-05-16,8.125,48.125,10.371238,1.047898
2010-05-17,8.125,48.125,11.220531,1.7106311
2010-05-18,8.125,48.125,12.873094,1.118959
2010-05-19,8.125,48.125,9.324289,7.1799808
2010-05-20,8.125,48.125,2.450352,7.1406918
2010-05-21,8.125,48.125,6.23736,0.4103481
2010-05-22,8.125,48.125,12.255825,0.34198412
2010-05-23,8.125,48.125,13.69745,0.19407794
2010-05-24,8.125,48.125,16.245213,-1.6653345e-13
2010-05-25,8.125,48.125,14.266872,0.26984736
2010-05-26,8.125,48.125,11.793204,7.0212665
2010-05-27,8.125,48.125,12.525213,7.735285
2010-05-28,8.125,48.125,12.637312,4.2727575
2010-05-29,8.125,48.125,12.315505,0.72899103
2010-05-30,8.125,48.125,8.716411,23.787249
2010-05-31,8.125,48.125,9.602587,3.2473266
2010-06-01,8.125,48.125,6.811585,2.5270603
2010-06-02,8.125,48.125,7.6165447,2.1721194
2010-06-03,8.125,48.125,3.7602787,1.0338542
2010-06-04,8.125,48.125,16.357857,-8.326673e-14
2010-06-05,8.125,48.125,16.616364,-8.326673e-14
2010-06-06,8.125,48.125,13.804216,10.939622
2010-06-07,8.125,48.125,13.0656595,6.6645184
2010-06-08,8.125,48.125,11.491759,2.7700608
2010-06-09,8.125,48.125,15.323494,4.8644204
2010-06-10,8.125,48.125,16.7553,1.9558407
2010-06-11,8.125,48.125,11.718558,10.027774
2010-06-12,8.125,48.125,6.9017253,3.4832032
2010-06-13,8.125,48.125,8.12795,3.8931713
2010-06-14,8.125,48.125,14.63258,2.6271946
2010-06-15,8.125,48.125,8.626088,1.069231
2010-06-16,8.125,48.125,4.9508867,8.11409
2010-06-17,8.125,48.125,5.665594,7.5001802
2010-06-18,8.125,48.125,9.267152,20.90543
2010-06-19,8.125,48.125,8.481654,3.6989014
2010-06-20,8.125,48.125,10.360647,1.0268911
2010-06-21,8.125,48.125,12.523864,1.1860983
2010-06-22,8.125,48.125,10.673497,0.5519913
2010-06-23,8.125,48.125,14.459476,-8.326673e-14
2010-06-24,8.125,48.125,15.176913,-8.326673e-14
2010-06-25,8.125,48.125,15.6040745,0.2816045
2010-06-26,8.125,48.125,14.765834,0.5748322
2010-06-27,8.125,48.125,14.677926,0.37702048
2010-06-28,8.125,48.125,13.426895,0.5740389
2010-06-29,8.125,48.125,13.062357,4.4271364
2010-06-30,8.125,48.125,14.263548,0.24678144
2010-07-01,8.125,48.125,14.970407,0.27796066
2010-07-02,8.125,48.125,15.005714,0.037227515
2010-07-03,8.125,48.125,15.695345,8.986567
2010-07-04,8.125,48.125,12.185252,2.767321
2010-07-05,8.125,48.125,16.237616,0.0065007345
2010-07-06,8.125,48.125,14.589914,0.054256257
2010-07-07,8.125,48.125,16.30367,0.0
2010-07-08,8.125,48.125,16.31481,0.0
2010-07-09,8.125,48.125,14.541882,0.00065782235
2010-07-10,8.125,48.125,16.212542,2.2107823
2010-07-11,8.125,48.125,15.549871,0.15514244
2010-07-12,8.125,48.125,14.286884,0.5482812
2010-07-13,8.125,48.125,13.155364,3.2071455
2010-07-14,8.125,48.125,14.750313,3.742263
2010-07-15,8.125,48.125,11.726302,1.0047162
2010-07-16,8.125,48.125,15.641458,0.33502567
2010-07-17,8.125,48.125,6.315305,13.357346
2010-07-18,8.125,48.125,11.542975,0.47792357
2010-07-19,8.125,48.125,15.931211,0.0
2010-07-20,8.125,48.125,15.651815,0.0
2010-07-21,8.125,48.125,13.495394,0.29762554
2010-07-22,8.125,48.125,5.7365723,6.0642
2010-07-23,8.125,48.125,3.1406612,22.026394
2010-07-24,8.125,48.125,9.1747465,3.7238636
2010-07-25,8.125,48.125,9.777728,0.011662174
2010-07-26,8.125,48.125,10.832185,19.712942
2010-07-27,8.125,48.125,10.167033,1.4593747
2010-07-28,8.125,48.125,3.7907119,13.850758
2010-07-29,8.125,48.125,8.907156,18.86087
2010-07-30,8.125,48.125,13.239647,0.65636384
2010-07-31,8.125,48.125,14.138716,0.00019942652
2010-08-01,8.125,48.125,14.005574,3.2241032
2010-08-02,8.125,48.125,7.900511,13.803966
2010-08-03,8.125,48.125,11.359136,4.282548
2010-08-04,8.125,48.125,9.310908,0.6694452
2010-08-05,8.125,48.125,4.4376616,24.71263
2010-08-06,8.125,48.125,11.170677,0.3547673
2010-08-07,8.125,48.125,14.110751,0.0
2010-08-08,8.125,48.125,9.933129,7.2283154
2010-08-09,8.125,48.125,10.946719,0.02692936
2010-08-10,8.125,48.125,12.278252,0.011965734
2010-08-11,8.125,48.125,10.0667,1.2969741
2010-08-12,8.125,48.125,7.0941415,16.517033
2010-08-13,8.125,48.125,8.09262,0.19462427
2010-08-14,8.125,48.125,9.112315,9.406253
2010-08-15,8.125,48.125,7.129151,18.771
2010-08-16,8.125,48.125,2.8808348,19.805527
2010-08-17,8.125,48.125,5.2868156,21.671518
2010-08-18,8.125,48.125,4.8711143,3.674539
2010-08-19,8.125,48.125,9.176971,1.1577587
2010-08-20,8.125,48.125,13.240049,0.023284674
2010-08-21,8.125,48.125,12.17496,0.033918463
2010-08-22,8.125,48.125,12.454524,0.20334214
2010-08-23,8.125,48.125,4.47379,12.503917
2010-08-24,8.125,48.125,4.042949,7.6234703
2010-08-25,8.125,48.125,11.249764,0.0
2010-08-26,8.125,48.125,13.1654215,0.067610085
2010-08-27,8.125,48.125,7.716765,16.860706
2010-08-28,8.125,48.125,8.779249,2.634094
2010-08-29,8.125,48.125,8.010428,5.426512
2010-08-30,8.125,48.125,4.932135,11.851642
2010-08-31,8.125,48.125,8.593581,1.1509429
